title,neurips_event_type,neurips_id,neurips_virtualsite_url,neurips_abstract,neurips_location,neurips_starttime,authors,session_area,affiliation,status,rating,avg_rating,openreview_urls,neurips_urls,all_urls,openreview_id,name,norm_title_nj,neurips_session,neurips_endtime,neurips_paper_url,neurips_decision,neurips_poster_position
telling stories at scale: multimodal ml in the global media landscape,Expo Talk Panel,128652,https://neurips.cc/virtual/2025/128652,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
data scout: “from prompt to corpus: accelerating domain-specific data collection with llmguided discovery”,Expo Talk Panel,128656,https://neurips.cc/virtual/2025/128656,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
multimodal data foundation at industry-scale,Expo Talk Panel,128659,https://neurips.cc/virtual/2025/128659,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
graid: synthetic data generation with geometric constraints and multi-agentic reflection for harmful content detection,Expo Talk Panel,128668,https://neurips.cc/virtual/2025/128668,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
beyond benchmarks: rethinking reasoning in language models,Expo Talk Panel,128665,https://neurips.cc/virtual/2025/128665,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
toward general full autonomy: open research challenges in scalable self-driving,Expo Talk Panel,128661,https://neurips.cc/virtual/2025/128661,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
foundational generative recommendations for e-commerce,Expo Talk Panel,128667,https://neurips.cc/virtual/2025/128667,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
checkmate: fine-tune your own small language model for real-time chess reasoning and gameplay on aws trainium,Expo Workshop,128680,https://neurips.cc/virtual/2025/128680,,,,,,,,,,,,,,,,Expo Workshop,,,,
causalfairness: an open-source python library for causal fairness analysis,Expo Workshop,128677,https://neurips.cc/virtual/2025/128677,,,,,,,,,,,,,,,,Expo Workshop,,,,
learning to steer llms with ai steerability 360 and in-context explainability 360,Expo Demonstration,128645,https://neurips.cc/virtual/2025/128645,,,,,,,,,,,,,,,,Expo Demonstration,,,,
llm-powered intelligent data engineering: from workflow design to ingestion andquality assurance,Expo Demonstration,128644,https://neurips.cc/virtual/2025/128644,,,,,,,,,,,,,,,,Expo Demonstration,,,,
who needs attention anyway? elastic state models for real-time streaming tasks,Expo Demonstration,128648,https://neurips.cc/virtual/2025/128648,,,,,,,,,,,,,,,,Expo Demonstration,,,,
multimodal superintelligence workshop,Expo Workshop,128681,https://neurips.cc/virtual/2025/128681,,,,,,,,,,,,,,,,Expo Workshop,,,,
alice: agentic logic for incident and codebug elimination,Expo Demonstration,128646,https://neurips.cc/virtual/2025/128646,,,,,,,,,,,,,,,,Expo Demonstration,,,,
efficient lidar processing with ai models leveraging heterogeneous compute,Expo Demonstration,128633,https://neurips.cc/virtual/2025/128633,,,,,,,,,,,,,,,,Expo Demonstration,,,,
parallel generation with verification on device,Expo Demonstration,128634,https://neurips.cc/virtual/2025/128634,,,,,,,,,,,,,,,,Expo Demonstration,,,,
soft prompts for on-device content moderation,Expo Demonstration,128635,https://neurips.cc/virtual/2025/128635,,,,,,,,,,,,,,,,Expo Demonstration,,,,
generating group photos of multiple people from text and reference images,Expo Demonstration,128636,https://neurips.cc/virtual/2025/128636,,,,,,,,,,,,,,,,Expo Demonstration,,,,
reasoning through multimodal end-to-end decision transformer networks and vision language action (vla) models,Expo Demonstration,128637,https://neurips.cc/virtual/2025/128637,,,,,,,,,,,,,,,,Expo Demonstration,,,,
disaggregated llm serving on ai accelerators,Expo Demonstration,128638,https://neurips.cc/virtual/2025/128638,,,,,,,,,,,,,,,,Expo Demonstration,,,,
swiftedit: fast text-guided image editing via one-step diffusion on a mobile device,Expo Demonstration,128639,https://neurips.cc/virtual/2025/128639,,,,,,,,,,,,,,,,Expo Demonstration,,,,
mobile video diffusion transformers,Expo Demonstration,128640,https://neurips.cc/virtual/2025/128640,,,,,,,,,,,,,,,,Expo Demonstration,,,,
exploring trust and reliability in llm evaluation,Expo Workshop,128673,https://neurips.cc/virtual/2025/128673,,,,,,,,,,,,,,,,Expo Workshop,,,,
pushing the boundaries of chemical synthesis with retrochimera,Expo Demonstration,128641,https://neurips.cc/virtual/2025/128641,,,,,,,,,,,,,,,,Expo Demonstration,,,,
build verifiable apps using generative ai and automated reasoning,Expo Demonstration,128651,https://neurips.cc/virtual/2025/128651,,,,,,,,,,,,,,,,Expo Demonstration,,,,
introduction to generative computing,Expo Workshop,128678,https://neurips.cc/virtual/2025/128678,,,,,,,,,,,,,,,,Expo Workshop,,,,
large-scale real-world physical ai systems,Expo Workshop,128672,https://neurips.cc/virtual/2025/128672,,,,,,,,,,,,,,,,Expo Workshop,,,,
creative and protective ai for music and entertainment,Expo Workshop,128679,https://neurips.cc/virtual/2025/128679,,,,,,,,,,,,,,,,Expo Workshop,,,,
beeai,Expo Demonstration,128642,https://neurips.cc/virtual/2025/128642,,,,,,,,,,,,,,,,Expo Demonstration,,,,
"prime guardrails in action: a live demonstration of an agentic, multi-layered safety framework for generative ai",Expo Demonstration,128650,https://neurips.cc/virtual/2025/128650,,,,,,,,,,,,,,,,Expo Demonstration,,,,
interpretable ai for risk-based assessment in global supply chains,Expo Demonstration,128649,https://neurips.cc/virtual/2025/128649,,,,,,,,,,,,,,,,Expo Demonstration,,,,
contextforge,Expo Demonstration,128643,https://neurips.cc/virtual/2025/128643,,,,,,,,,,,,,,,,Expo Demonstration,,,,
multimodal ai forensic search for video surveillance,Expo Demonstration,128632,https://neurips.cc/virtual/2025/128632,,,,,,,,,,,,,,,,Expo Demonstration,,,,
"neural arms race: authenticity, infringement analysis, and attribution in the age of ai music",Expo Talk Panel,128669,https://neurips.cc/virtual/2025/128669,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
recent developments in embodied ai,Expo Talk Panel,128653,https://neurips.cc/virtual/2025/128653,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
agentic ai/rl,Expo Talk Panel,128662,https://neurips.cc/virtual/2025/128662,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
building foundational models for robotics at tesla,Expo Talk Panel,128654,https://neurips.cc/virtual/2025/128654,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
distributed orthonormal updates for large-scale training,Expo Talk Panel,128655,https://neurips.cc/virtual/2025/128655,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
"ring-1t, ring-linear and ming-flash-omni: scaling knowledge-enhanced large language models for reasoning and efficiency",Expo Talk Panel,128657,https://neurips.cc/virtual/2025/128657,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
building an ai ecosystem for multiscale biological discovery,Expo Talk Panel,128658,https://neurips.cc/virtual/2025/128658,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
multi-agent systems in industry: from research to real-world impact,Expo Workshop,128675,https://neurips.cc/virtual/2025/128675,,,,,,,,,,,,,,,,Expo Workshop,,,,
using the virtual cell platform to accelerate machine learning in biology,Expo Workshop,128676,https://neurips.cc/virtual/2025/128676,,,,,,,,,,,,,,,,Expo Workshop,,,,
on device/edge ai,Expo Workshop,128674,https://neurips.cc/virtual/2025/128674,,,,,,,,,,,,,,,,Expo Workshop,,,,
"ai assistants in the wild: agents, adaptation, and memory-augmented deployment",Expo Workshop,128671,https://neurips.cc/virtual/2025/128671,,,,,,,,,,,,,,,,Expo Workshop,,,,
cosmos world foundation model platform for physical ai,Expo Talk Panel,128663,https://neurips.cc/virtual/2025/128663,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
the co-x framework: versatile ai agents for automating and augmenting professional workflows,Expo Talk Panel,128666,https://neurips.cc/virtual/2025/128666,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
"juries, not judges! industry-scale evaluation of trustworthy ai via dynamic llm panels",Expo Talk Panel,128660,https://neurips.cc/virtual/2025/128660,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
"building the open ai ecosystem: models, infrastructure and community adoption",Expo Talk Panel,128664,https://neurips.cc/virtual/2025/128664,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
